,Date,bt_Close**,bt_Volume,bt_Supply,bt_close_off_high,bt_volatility,bt_High,bt_Low
1610,2014-06-24,582.36,14144900,12941033.335050484,1.0,0.024597201878882792,596.97,582.36
1609,2014-06-25,566.34,20687700,12945683.564643146,0.9209794101279871,0.030886371839604045,583.6,565.63
1608,2014-06-26,581.14,14655900,12950008.147778505,-0.9420118343195255,0.029851273536581017,581.63,564.73
1607,2014-06-27,597.26,20814600,12954771.690720959,-0.7172516065249619,0.034801307414416,600.12,579.89
1606,2014-06-28,596.55,13398100,12959503.275500797,0.8526315789473706,0.014271883554784115,604.47,595.92
1605,2014-06-29,602.72,8897470,12963367.459185027,-0.6565656565656564,0.013281236899032536,604.08,596.16
1604,2014-06-30,639.8,46422400,12966714.199749922,-0.7632508833922254,0.07513856161428424,645.16,599.88
1603,2014-07-01,640.81,38446300,12970019.039965045,0.9211267605633879,0.027674269944963283,657.86,640.11
1602,2014-07-02,650.88,25768200,12973505.066986235,-0.3675027262813544,0.028609759141395106,656.68,638.34
1601,2014-07-03,645.16,18949000,12976919.542439086,0.18479408658922858,0.014551992255328345,650.77,641.3
1600,2014-07-04,630.69,22237200,12981191.165231729,0.8644245927482839,0.02951989451640421,648.43,629.4
1599,2014-07-05,631.46,9105940,12984888.309631646,-0.32567049808429815,0.00828637193428054,633.22,628.0
1598,2014-07-06,635.81,10080000,12988438.715968609,-0.24165554072095374,0.011855580353609714,638.65,631.16
1597,2014-07-07,624.09,17813600,12991941.729558237,0.2972704714640151,0.03170931293865857,637.16,617.01
1596,2014-07-08,624.82,10005500,12995833.401619665,-0.35060449050087383,0.00930015901826313,626.7,620.91
1595,2014-07-09,624.51,9819150,13000079.183680005,0.13181818181819183,0.007037522791977187,627.0,622.6
1594,2014-07-10,616.76,15880700,13003817.168752838,0.35947712418301037,0.02203799433445894,626.12,612.35
1593,2014-07-11,632.0,16467100,13007736.745253164,-0.9889705882352903,0.026465150974605212,632.09,615.77
1592,2014-07-12,633.71,13329000,13011686.59797068,-0.390495867768606,0.015319364436285291,636.66,626.98
1591,2014-07-13,626.5,11291000,13015587.674381485,0.6761710794297304,0.015483586137302592,634.73,624.91
1590,2014-07-14,619.32,12706800,13018919.892785635,0.600798403193612,0.015992083758937663,627.34,617.32
1589,2014-07-15,621.59,10873200,13022866.19636738,0.29090909090907435,0.008870967741935484,625.14,619.64
